minRoll,maxRoll,textRolls,position,effect,static,regex,modifierId
4,6,,0,#% increased maximum Energy Shield,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) maximum Energy Shield,336
4,6,,0,#% increased maximum Life,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) maximum Life,337
4,6,,0,#% increased maximum Mana,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) maximum Mana,338
5,8,,0,#% additional Physical Damage Reduction while affected by Determination,,([+-]?([0-9]*[.])?[0-9]+)% additional Physical Damage Reduction while affected by Determination,339
5,8,,0,+#% Chance to Block Attack Damage while affected by Determination,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Attack Damage while affected by Determination,340
40,60,,0,You take #% reduced Extra Damage from Critical Strikes while affected by Determination,,You take ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Extra Damage from Critical Strikes while affected by Determination,341
600,1000,,0,+# to Armour while affected by Determination,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Armour while affected by Determination,342
40,50,,0,#% reduced Reflected Physical Damage taken while affected by Determination,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Reflected Physical Damage taken while affected by Determination,343
5,8,,0,+#% chance to Evade Attack Hits while affected by Grace,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% chance to Evade Attack Hits while affected by Grace,344
12,15,,0,+#% chance to Suppress Spell Damage while affected by Grace,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% chance to Suppress Spell Damage while affected by Grace,345
10,15,,0,#% increased Movement Speed while affected by Grace,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Movement Speed while affected by Grace,346
30,50,,0,#% chance to Blind Enemies which Hit you while affected by Grace,,([+-]?([0-9]*[.])?[0-9]+)% chance to Blind Enemies which Hit you while affected by Grace,347
1.5,2.5,,0,Regenerate #% of Energy Shield per Second while affected by Discipline,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Energy Shield per Second while affected by Discipline,348
5,8,,0,+#% Chance to Block Spell Damage while affected by Discipline,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Spell Damage while affected by Discipline,349
30,40,,0,#% faster start of Energy Shield Recharge while affected by Discipline,,([+-]?([0-9]*[.])?[0-9]+)% faster start of Energy Shield Recharge while affected by Discipline,350
